age_hh,educ_hh,ethnicity_hh
59,2.880149,0
60,2.880149,0
60,2.880149,0
61,2.880149,0
60,0,0
59,2.880149,0
60,2.880149,0
61,2.880149,0
23,2.880149,0
24,6,0
25,6,0
28,6,0
48,0,0
50,0,0
25,3,1
28,3,0
30,3,0
30,3,0
30,3,0
30,3,0
30,3,0
66,0,0
67,0,0
67,0,0
68,0,0
68,0,0
69,0,0
32,2,0
63,0,0
64,0,0
64,0,0
65,0,0
66,0,0
67,0,0
69,0,0
32,5,0
33,5,0
34,5,0
34,5,0
35,5,0
35,5,0
38,4,0
54,0,0
55,0,0
55,0,0
56,0,0
24,0,0
25,0,0
26,0,0
26,0,0
27,0,0
27,0,0
29,5,0
47,0,0
48,0,0
48,0,0
49,0,0
49,0,0
50,0,0
57,0,0
36,2,0
37,2,0
37,2,0
38,2,0
38,2,0
39,2,0
43,3,0
48,0,0
49,0,0
49,0,0
50,0,0
51,0,0
23,6,0
54,0,0
55,0,0
56,0,0
57,0,0
30,0,0
31,0,0
31,0,0
32,0,0
32,0,0
36,0,0
64,0,0
65,0,0
66,0,0
66,0,0
67,0,0
67,0,0
23,4,0
73,0,0
74,0,0
75,0,0
76,0,0
76,0,0
77,0,0
80,3,0
49,0,0
50,0,0
51,0,0
